dataset_name,path,family,note,n_obs,n_vars,n_genes_used,context_col,perturbation_col,control_col,n_tasks,n_contexts,n_perturbations,n_control_contexts,role,pair
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,1000,cell_type,condition2,control,24,5,10,5,source,KaggleCrossCell_celltype->KaggleCrossPatient_celltype
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,1000,cell_type,condition2,control,38,6,10,6,target,KaggleCrossCell_celltype->KaggleCrossPatient_celltype
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,1000,cell_type,condition2,control,38,6,10,6,source,KaggleCrossPatient_celltype->KaggleCrossCell_celltype
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,1000,cell_type,condition2,control,24,5,10,5,target,KaggleCrossPatient_celltype->KaggleCrossCell_celltype
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,1000,cell_type,condition2,control,24,5,10,5,source,KaggleCrossCell_celltype->KaggleCrossPatient_donor
KaggleCrossPatient_donor,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same file as KaggleCrossPatient, but context is donor/patient.",25583,5000,1000,donor_id,condition2,control,30,3,10,3,target,KaggleCrossCell_celltype->KaggleCrossPatient_donor
KaggleCrossPatient_donor,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same file as KaggleCrossPatient, but context is donor/patient.",25583,5000,1000,donor_id,condition2,control,30,3,10,3,source,KaggleCrossPatient_donor->KaggleCrossCell_celltype
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,1000,cell_type,condition2,control,24,5,10,5,target,KaggleCrossPatient_donor->KaggleCrossCell_celltype
kangCrossCell_celltype,extra_official/cellular_context_generalization/kangCrossCell.h5ad,immune_stim,Kang IFN stimulation; context is cell type.,13576,5000,1000,cell_type,condition2,,8,8,1,8,source,kangCrossCell_celltype->kangCrossPatient_celltype
kangCrossPatient_celltype,extra_official/cellular_context_generalization/kangCrossPatient.h5ad,immune_stim,Kang IFN stimulation second file; context is normalized cell type.,13093,5000,1000,cell_type_x,condition2,,8,8,1,8,target,kangCrossCell_celltype->kangCrossPatient_celltype
kangCrossPatient_celltype,extra_official/cellular_context_generalization/kangCrossPatient.h5ad,immune_stim,Kang IFN stimulation second file; context is normalized cell type.,13093,5000,1000,cell_type_x,condition2,,8,8,1,8,source,kangCrossPatient_celltype->kangCrossCell_celltype
kangCrossCell_celltype,extra_official/cellular_context_generalization/kangCrossCell.h5ad,immune_stim,Kang IFN stimulation; context is cell type.,13576,5000,1000,cell_type,condition2,,8,8,1,8,target,kangCrossPatient_celltype->kangCrossCell_celltype
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,566,cell_type,condition2,control,24,5,10,5,source,KaggleCrossCell_celltype->sciplex3_cellline
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,566,condition1,condition2,,27,3,9,3,target,KaggleCrossCell_celltype->sciplex3_cellline
