old_record_id,new_record_id,predictor_name,task_key,split,old_predicted_effect_key,new_predicted_effect_key,old_true_effect_key,new_true_effect_key
v2_rec_004012,e21_rec_00000,ContextSimBaseline,sciplex3_official_3cell::task_00000,test,v2_rec_004012::predicted_effect,e21_rec_00000::predicted_effect,v2_rec_004012::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00000::true_effect
v2_rec_001783,e21_rec_00001,V0StrongBaseline,sciplex3_official_3cell::task_00000,test,v2_rec_001783::predicted_effect,e21_rec_00001::predicted_effect,v2_rec_001783::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00000::true_effect
v2_rec_004013,e21_rec_00002,ContextSimBaseline,sciplex3_official_3cell::task_00001,test,v2_rec_004013::predicted_effect,e21_rec_00002::predicted_effect,v2_rec_004013::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00001::true_effect
v2_rec_001784,e21_rec_00003,V0StrongBaseline,sciplex3_official_3cell::task_00001,test,v2_rec_001784::predicted_effect,e21_rec_00003::predicted_effect,v2_rec_001784::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00001::true_effect
v2_rec_004014,e21_rec_00004,ContextSimBaseline,sciplex3_official_3cell::task_00006,test,v2_rec_004014::predicted_effect,e21_rec_00004::predicted_effect,v2_rec_004014::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00006::true_effect
v2_rec_001785,e21_rec_00005,V0StrongBaseline,sciplex3_official_3cell::task_00006,test,v2_rec_001785::predicted_effect,e21_rec_00005::predicted_effect,v2_rec_001785::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00006::true_effect
v2_rec_004015,e21_rec_00006,ContextSimBaseline,sciplex3_official_3cell::task_00010,test,v2_rec_004015::predicted_effect,e21_rec_00006::predicted_effect,v2_rec_004015::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00010::true_effect
v2_rec_001786,e21_rec_00007,V0StrongBaseline,sciplex3_official_3cell::task_00010,test,v2_rec_001786::predicted_effect,e21_rec_00007::predicted_effect,v2_rec_001786::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00010::true_effect
v2_rec_004016,e21_rec_00008,ContextSimBaseline,sciplex3_official_3cell::task_00012,test,v2_rec_004016::predicted_effect,e21_rec_00008::predicted_effect,v2_rec_004016::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00012::true_effect
v2_rec_001787,e21_rec_00009,V0StrongBaseline,sciplex3_official_3cell::task_00012,test,v2_rec_001787::predicted_effect,e21_rec_00009::predicted_effect,v2_rec_001787::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00012::true_effect
v2_rec_004017,e21_rec_00010,ContextSimBaseline,sciplex3_official_3cell::task_00016,test,v2_rec_004017::predicted_effect,e21_rec_00010::predicted_effect,v2_rec_004017::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00016::true_effect
v2_rec_001788,e21_rec_00011,V0StrongBaseline,sciplex3_official_3cell::task_00016,test,v2_rec_001788::predicted_effect,e21_rec_00011::predicted_effect,v2_rec_001788::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00016::true_effect
v2_rec_004018,e21_rec_00012,ContextSimBaseline,sciplex3_official_3cell::task_00020,test,v2_rec_004018::predicted_effect,e21_rec_00012::predicted_effect,v2_rec_004018::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00020::true_effect
