source_file,read_status,n_preview_rows,has_predictor_name,predictor_values_preview,dataset_values_preview,error_columns,has_true_error_rmse,has_score_name,has_split_setting
docs/实验结果/Cui_go_nogo_20260603/tables/CUI_PER_PREDICTOR_RHO.csv,ok,24,True,ContextSimBaseline;V0StrongBaseline,,raw_score_vs_rmse_rho;normalized_rmse_rho;mean_rmse,False,True,False
docs/实验结果/E10_external_task_validation_probe_20260707/tables/CONFIDENCE_EVAL_SUMMARY.csv,ok,120,True,ALL;ContextSimBaseline;V0StrongBaseline,ALL;Haber;KaggleCrossCell;Parekh,spearman_score_vs_rmse;pearson_score_vs_rmse;mean_rmse;median_rmse;high_low_rmse_gap,False,True,False
docs/实验结果/E12_external_panel_probe_20260707/tables/CONFIDENCE_EVAL_SUMMARY.csv,ok,120,True,ALL;ContextSimBaseline;V0StrongBaseline,ALL;KaggleCrossPatient;crossPatient;sciplex3,spearman_score_vs_rmse;pearson_score_vs_rmse;mean_rmse;median_rmse;high_low_rmse_gap,False,True,False
docs/实验结果/E13_sciplex3_official_3cell_panel_20260707/tables/CONFIDENCE_EVAL_SUMMARY.csv,ok,60,True,ALL;ContextSimBaseline;V0StrongBaseline,ALL;sciplex3_official_3cell,spearman_score_vs_rmse;pearson_score_vs_rmse;mean_rmse;median_rmse;high_low_rmse_gap,False,True,False
docs/实验结果/E14_sciplex3_full743_gene1000_20260707/tables/CONFIDENCE_EVAL_SUMMARY.csv,ok,60,True,ALL;ContextSimBaseline;V0StrongBaseline,ALL;sciplex3_official_3cell,spearman_score_vs_rmse;pearson_score_vs_rmse;mean_rmse;median_rmse;high_low_rmse_gap,False,True,False
docs/实验结果/E15_sciplex3_full743_gene2000_20260707/tables/CONFIDENCE_EVAL_SUMMARY.csv,ok,60,True,ALL;ContextSimBaseline;V0StrongBaseline,ALL;sciplex3_official_3cell,spearman_score_vs_rmse;pearson_score_vs_rmse;mean_rmse;median_rmse;high_low_rmse_gap,False,True,False
docs/实验结果/E16_sciplex3_full743_gene3000_20260707/tables/CONFIDENCE_EVAL_SUMMARY.csv,ok,60,True,ALL;ContextSimBaseline;V0StrongBaseline,ALL;sciplex3_official_3cell,spearman_score_vs_rmse;pearson_score_vs_rmse;mean_rmse;median_rmse;high_low_rmse_gap,False,True,False
docs/实验结果/E17_sciplex3_full743_gene5000_20260707/tables/CONFIDENCE_EVAL_SUMMARY.csv,ok,60,True,ALL;ContextSimBaseline;V0StrongBaseline,ALL;sciplex3_official_3cell,spearman_score_vs_rmse;pearson_score_vs_rmse;mean_rmse;median_rmse;high_low_rmse_gap,False,True,False
docs/实验结果/E18_model_vector_asset_audit_20260707/tables/GEARS_CANONICAL_PREDICTION_RECORDS.csv,ok,54,True,GEARS,adamson;dixit;norman,true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E18_model_vector_asset_audit_20260707/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,5,False,,ALL;adamson;dixit;norman,spearman_score_vs_rmse;mean_rmse,False,True,False
docs/实验结果/E19_gears_only_supplement_20260707/tables/GEARS_SUPPLEMENT_PREDICTION_RECORDS.csv,ok,116,True,GEARS,adamson;dixit;frangieh;norman,true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E21_strict_contract_remediation_20260707/input/PREDICTION_RECORDS.csv,ok,60,True,ContextSimBaseline;V0StrongBaseline,sciplex3_official_3cell,error_normalization;true_error_rmse;true_error_cosine;true_error_top20,True,False,False
docs/实验结果/E21_strict_contract_remediation_20260707/tables/STRICT_SAMPLE_PREDICTION_RECORDS.csv,ok,60,True,ContextSimBaseline;V0StrongBaseline,sciplex3_official_3cell,error_normalization;true_error_rmse;true_error_cosine;true_error_top20,True,False,False
docs/实验结果/E25_gears_strict_prediction_records_20260708/tables/PREDICTION_RECORDS.csv,ok,54,True,GEARS,adamson;dixit;norman,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E27_scgpt_forward_prediction_record_smoke_20260708/tables/PREDICTION_RECORDS.csv,ok,3,True,scGPT_whole_human_forward_smoke,ReplogleK562Essential_scGPT_smoke,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E27_scgpt_forward_prediction_record_smoke_20260708/tables/SCGPT_FORWARD_SMOKE_PREDICTION_RECORDS.csv,ok,3,True,scGPT_whole_human_forward_smoke,ReplogleK562Essential_scGPT_smoke,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E28_gears_scgpt_shared_adamson_smoke_20260708/tables/E28_SHARED_PREDICTION_RECORDS.csv,ok,6,True,GEARS_formal_seed1_subset512;scGPT_whole_human_forward_subset512,Adamson_GEARS_scGPT_shared_smoke,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E28_gears_scgpt_shared_adamson_smoke_20260708/tables/PREDICTION_RECORDS.csv,ok,6,True,GEARS_formal_seed1_subset512;scGPT_whole_human_forward_subset512,Adamson_GEARS_scGPT_shared_smoke,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E29_gears_scgpt_shared_adamson_risk_audit_20260708/tables/E29_RISK_AUDIT_SUMMARY.csv,ok,3,False,,,top_30pct_mean_rmse;bottom_30pct_mean_rmse;all_task_mean_rmse,False,False,False
docs/实验结果/E29_gears_scgpt_shared_adamson_risk_audit_20260708/tables/E29_SHARED_PREDICTION_RECORDS.csv,ok,14,True,GEARS_formal_seed1_subset512;scGPT_whole_human_forward_subset512,Adamson_GEARS_scGPT_shared_risk_audit,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E29_gears_scgpt_shared_adamson_risk_audit_20260708/tables/PREDICTION_RECORDS.csv,ok,14,True,GEARS_formal_seed1_subset512;scGPT_whole_human_forward_subset512,Adamson_GEARS_scGPT_shared_risk_audit,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E31_gears_fixed_test_split_smoke_20260708/raw_gears/adamson/seed_1/tables/PREDICTION_RECORDS.csv,ok,7,True,GEARS,adamson,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E31_gears_fixed_test_split_smoke_20260708/tables/PREDICTION_RECORDS.csv,ok,7,True,GEARS,adamson,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E32_gears_fixed_test_3seed_smoke_20260708/raw_gears/adamson/seed_1/tables/PREDICTION_RECORDS.csv,ok,7,True,GEARS,adamson,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E32_gears_fixed_test_3seed_smoke_20260708/raw_gears/adamson/seed_2/tables/PREDICTION_RECORDS.csv,ok,7,True,GEARS,adamson,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E32_gears_fixed_test_3seed_smoke_20260708/raw_gears/adamson/seed_3/tables/PREDICTION_RECORDS.csv,ok,7,True,GEARS,adamson,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/E32_gears_fixed_test_3seed_smoke_20260708/tables/PREDICTION_RECORDS.csv,ok,21,True,GEARS,adamson,error_normalization;true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/Formal_main_20260604/corrected_v3_drop_blank_1000_20260609/tables/FORMAL_PER_PREDICTOR_RHO.csv,ok,152,True,ContextSimBaseline;V0StrongBaseline,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,normalized_rmse_rho;mean_rmse,False,True,False
docs/实验结果/Formal_main_20260604/feature_ablation_1000_20260606/tables/FEATURE_ABLATION_PER_PREDICTOR.csv,ok,98,True,ContextSimBaseline;V0StrongBaseline,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,normalized_rmse_rho;mean_rmse,False,True,False
docs/实验结果/Formal_main_20260604/feature_ablation_20260605/tables/FEATURE_ABLATION_PER_PREDICTOR.csv,ok,98,True,ContextSimBaseline;V0StrongBaseline,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,normalized_rmse_rho;mean_rmse,False,True,False
docs/实验结果/Formal_main_20260604/gears_frangieh_adapter_smoke/tables/GEARS_FRANGIEH_PREDICTION_RECORDS_COMBINED.csv,ok,62,True,GEARS,frangieh,true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/Formal_main_20260604/gears_frangieh_formal_probe_20260606/tables/GEARS_CONFIDENCE_EVAL_SUMMARY.csv,ok,6,False,,ALL;frangieh,spearman_score_vs_rmse;mean_rmse,False,True,False
docs/实验结果/Formal_main_20260604/gears_frangieh_formal_probe_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,ok,62,True,GEARS,frangieh,true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/Formal_main_20260604/gears_frangieh_uncertainty_probe/tables/GEARS_FRANGIEH_UNCERTAINTY_PREDICTION_RECORDS.csv,ok,21,True,GEARS,frangieh,true_error_rmse;true_error_cosine,True,False,False
docs/实验结果/Formal_main_20260604/tables/FORMAL_PER_PREDICTOR_RHO.csv,ok,152,True,ContextSimBaseline;V0StrongBaseline,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,normalized_rmse_rho;mean_rmse,False,True,False
docs/实验结果/Formal_main_20260604/tahoe_adapter_smoke/tables/TAHOE_PREDICTION_RECORDS_SMOKE.csv,ok,30,True,V0DrugMeanPseudobulk,Tahoe100M_pseudobulk_smoke,error_normalization;true_error_rmse;true_error_cosine,True,False,False
