analysis_role,panel,score,endpoint,endpoint_label,expected_direction,n_tasks,x_nunique,y_nunique,rho,pvalue_two_sided,status,rho_serialization_rule
E158_preregistered_estimability_forensic_check,Norman_P3,epistemic_confidence,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,epistemic_confidence,frac_correct_direction_all,PCA主direction,positive,24,1,23,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,epistemic_confidence,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,aleatoric_confidence,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,aleatoric_confidence,frac_correct_direction_all,PCA主direction,positive,24,1,23,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,aleatoric_confidence,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,combined_confidence_official,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,combined_confidence_official,frac_correct_direction_all,PCA主direction,positive,24,1,23,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,combined_confidence_official,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,predicted_magnitude_rms,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,predicted_magnitude_rms,frac_correct_direction_all,PCA主direction,positive,24,1,23,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P3,predicted_magnitude_rms,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,epistemic_confidence,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,epistemic_confidence,frac_correct_direction_all,PCA主direction,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,epistemic_confidence,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,aleatoric_confidence,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,aleatoric_confidence,frac_correct_direction_all,PCA主direction,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,aleatoric_confidence,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,combined_confidence_official,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,combined_confidence_official,frac_correct_direction_all,PCA主direction,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,combined_confidence_official,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,predicted_magnitude_rms,pearson_effect_accuracy,PCA主accuracy,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,predicted_magnitude_rms,frac_correct_direction_all,PCA主direction,positive,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
E158_preregistered_estimability_forensic_check,Norman_P4,predicted_magnitude_rms,rmse_effect_error,PCA主RMSE,negative,24,1,24,,,undefined_constant_score,blank_when_undefined_never_zero_filled
