requirement_id,问题,证据,状态,结论
Z1,风险对应哪种实际误差,E189/E190/E192逐模型RMSE family RMS worst-member,PASS,误差对象已明确分列
Z2,真值未知时能否计算,E189/E190/E192 query均无y且预测先双远程冻结,PASS,证书和magnitude均为pretruth量
Z3,小训练子矩阵,E189支持量1/2/3/5,PASS,3到5收益平台
Z4,随机pair与整行整列双未见,E189同模型合同13440任务,PASS,随机pair明显高估通用性
Z5,跨数据集直接预测,E190 Adamson到Replogle K562和E192 Adamson K562到Replogle RPE1,PASS_WITH_BOUNDARY,两个目标环境均完成且性能边界保留
Z6,基因和化学扰动,E189/E190/E192加E84/E87/E89,PASS,两模态分开解释
M1,确定性family-error下界,E189/E190/E192均0违例,PASS,确定性证书跨难度和目标环境保持
M2,有限复核预算收益,E191固定10/20/30预算且E192锁定确认,PASS_WITH_SETTING_BOUNDARY,E192的20%预算捕获62.86%高错误任务
M3,分歧普遍优于magnitude,E191为8胜8负且E192 magnitude utility略高,FAIL_UNIVERSAL_CLAIM,不能写通用优势
M4,新setting风险路由,E192相关区间跨0并按预注册规则返回ABSTAIN,PASS_FAIL_CLOSED,不能用正预算收益事后删除失败条件
M5,真实后续实验或机制验证,尚无新的湿实验结果,NOT_DONE,更高层级投稿仍需实验闭环
